Rank,Company Name,Number of Employees,Previous Rank,Revenues,Revenue Change,Profits,Profit Change,Assets,Market Value
1,Walmart,"23,00,000",1,"$4,85,873",0.80%,"$13,643.00 ",-7.20%,"$1,98,825","$2,18,619"
2,Berkshire Hathaway,"3,67,700",4,"$2,23,604",6.10%,"$24,074.00 ",0.00%,"$6,20,854","$4,11,035"
3,Apple,"1,16,000",3,"$2,15,639",-7.70%,"$45,687.00 ",-14.40%,"$3,21,686","$7,53,718"
4,Exxon Mobil,"72,700",2,"$2,05,004",-16.70%,"$7,840.00 ",-51.50%,"$3,30,314","$3,40,056"
5,McKesson,"68,000",5,"$1,92,487",6.20%,"$2,258.00 ",53.00%,"$56,563 ","$31,439 "
6,UnitedHealth Group,"2,30,000",6,"$1,84,840",17.70%,"$7,017.00 ",20.70%,"$1,22,810","$1,57,793"
7,CVS Health,"2,04,000",7,"$1,77,526",15.80%,"$5,317.00 ",1.50%,"$94,462 ","$81,310 "
8,General Motors,"2,25,000",8,"$1,66,380",9.20%,"$9,427.00 ",-2.70%,"$2,21,690","$52,968 "
9,AT&T,"2,68,540",10,"$1,63,786",11.60%,"$12,976.00 ",-2.80%,"$4,03,821","$2,55,679"
10,Ford Motor,"2,01,000",9,"$1,51,800",1.50%,"$4,596.00 ",-37.70%,"$2,37,951","$46,349 "
11,AmerisourceBergen,"18,500",12,"$1,46,850",8.00%,"$1,427.90 ",-,"$33,656 ","$19,229 "
12,Amazon.com,"3,41,400",18,"$1,35,987",27.10%,"$2,371.00 ",297.80%,"$83,402 ","$4,23,031"
13,General Electric,"2,95,000",11,"$1,26,661",-9.80%,"$8,831.00 ",-,"$3,65,183","$2,59,520"
14,Verizon,"1,60,900",13,"$1,25,980",-4.30%,"$13,127.00 ",-26.60%,"$2,44,180","$1,98,900"
15,Cardinal Health,"37,300",21,"$1,21,546",18.50%,"$1,427.00 ",17.40%,"$34,122 ","$25,725 "
16,Costco,"1,72,000",15,"$1,18,719",2.20%,"$2,350.00 ",-1.10%,"$33,163 ","$73,606 "
17,Walgreens Boots Alliance,"3,00,000",19,"$1,17,351",13.40%,"$4,173.00 ",-1.10%,"$72,688 ","$89,645 "
18,Kroger,"4,43,000",17,"$1,15,337",5.00%,"$1,975.00 ",-3.10%,"$36,505 ","$26,961 "
19,Chevron,"55,200",14,"$1,07,567",-18.00%,-$497.00,-110.80%,"$2,60,078","$2,03,263"
20,Fannie Mae,"7,000",16,"$1,07,162",-2.90%,"$12,313.00 ",12.40%,"$32,87,968","$3,011 "
21,J.P. Morgan Chase,"2,43,355",23,"$1,05,486",4.40%,"$24,733.00 ",1.20%,"$24,90,972","$3,13,761"
22,Express Scripts Holding,"25,600",22,"$1,00,288",-1.40%,"$3,404.40 ",37.50%,"$51,745 ","$39,567 "
23,Home Depot,"4,06,000",28,"$94,595 ",6.90%,"$7,957.00 ",13.50%,"$42,966 ","$1,76,368"
24,Boeing,"1,50,540",24,"$94,571 ",-1.60%,"$4,895.00 ",-5.40%,"$89,997 ","$1,07,546"
25,Wells Fargo,"2,69,100",27,"$94,176 ",4.60%,"$21,938.00 ",-4.20%,"$19,30,115","$2,78,516"
26,Bank of America Corp.,"2,08,024",26,"$93,662 ",0.70%,"$17,906.00 ",12.70%,"$21,87,702","$2,36,182"
27,Alphabet,"72,053",36,"$90,272 ",20.40%,"$19,478.00 ",19.10%,"$1,67,497","$5,79,426"
28,Microsoft,"1,14,000",25,"$85,320 ",-8.80%,"$16,798.00 ",37.80%,"$1,93,694","$5,08,935"
29,Anthem,"53,000",33,"$84,863 ",7.20%,"$2,469.80 ",-3.50%,"$65,083 ","$43,813 "
30,Citigroup,"2,19,000",29,"$82,386 ",-6.70%,"$14,912.00 ",-13.50%,"$17,92,077","$1,65,394"
31,Comcast,"1,59,000",37,"$80,403 ",7.90%,"$8,695.00 ",6.50%,"$1,80,500","$1,78,258"
32,IBM,"4,14,400",31,"$79,919 ",-3.10%,"$11,872.00 ",-10.00%,"$1,17,470","$1,64,251"
33,State Farm Insurance Cos.,"68,234",35,"$76,132 ",0.60%,$350.30 ,-94.40%,"$2,56,030",-
34,Phillips 66,"14,800",30,"$72,396 ",-16.90%,"$1,555.00 ",-63.20%,"$51,653 ","$40,954 "
35,Johnson & Johnson,"1,26,400",39,"$71,890 ",2.60%,"$16,540.00 ",7.30%,"$1,41,208","$3,37,642"
36,Procter & Gamble,"1,05,000",34,"$71,726 ",-8.90%,"$10,508.00 ",49.30%,"$1,27,136","$2,29,700"
37,Valero Energy,"9,996",32,"$70,166 ",-14.20%,"$2,289.00 ",-42.60%,"$46,173 ","$29,746 "
38,Target,"3,23,000",38,"$69,495 ",-5.80%,"$2,737.00 ",-18.60%,"$37,431 ","$30,502 "
39,Freddie Mac,"5,982",43,"$65,665 ",3.40%,"$7,815.00 ",22.60%,"$20,23,376","$1,612 "
40,Lowe’s,"2,40,000",47,"$65,017 ",10.10%,"$3,093.00 ",21.50%,"$34,408 ","$70,481 "
41,Dell Technologies,"1,38,000",,"$64,806 ",18.10%,"-$1,672.00",-,"$1,18,206",-
42,MetLife,"58,000",40,"$63,476 ",-9.30%,$800.00 ,-84.90%,"$8,98,764","$57,429 "
43,Aetna,"49,500",46,"$63,155 ",4.70%,"$2,271.00 ",-5.00%,"$69,146 ","$44,859 "
44,PepsiCo,"2,64,000",44,"$62,799 ",-0.40%,"$6,329.00 ",16.10%,"$74,129 ","$1,59,763"
45,Archer Daniels Midland,"31,800",41,"$62,346 ",-7.90%,"$1,279.00 ",-30.80%,"$39,769 ","$26,274 "
46,UPS,"3,35,520",48,"$60,906 ",4.40%,"$3,431.00 ",-29.20%,"$40,377 ","$93,276 "
47,Intel,"1,06,000",51,"$59,387 ",7.30%,"$10,316.00 ",-9.70%,"$1,13,327","$1,70,539"
48,Prudential Financial,"49,739",50,"$58,779 ",2.90%,"$4,368.00 ",-22.60%,"$7,83,962","$45,912 "
49,Albertsons Cos.,"2,74,000",,"$58,734 ",115.90%,-$502.20,-,"$23,770 ",-
50,United Technologies,"2,01,600",45,"$57,244 ",-6.20%,"$5,055.00 ",-33.60%,"$89,706 ","$89,957 "
51,Marathon Petroleum,"44,460",42,"$55,858 ",-13.50%,"$1,174.00 ",-58.80%,"$44,413 ","$26,679 "
52,Disney,"1,95,000",53,"$55,632 ",6.00%,"$9,391.00 ",12.00%,"$92,033 ","$1,79,298"
53,Humana,"51,600",52,"$54,379 ",0.20%,$614.00 ,-51.90%,"$25,396 ","$29,743 "
