city,Country,Date,latitude,longitude,Max Temperature,Humidity,Cloudiness,Wind_Speed
cootamundra,ID,2018-11-15 18:16:48,-2.54,112.95,86.82,96,5.7,0
cootamundra,US,2018-11-15 17:56:00,32.52,-93.73,46.94,79,4.7,1
cootamundra,ZA,2018-11-15 18:16:51,-33.59,26.89,60.09,99,3.69,36
cootamundra,AU,2018-11-15 18:00:00,-43.03,147.26,62.6,45,5.82,75
cootamundra,ID,2018-11-15 18:16:53,-2.54,115.51,85.69,75,1.9,20
cootamundra,CA,2018-11-15 17:44:00,49.72,-86.95,30.2,92,4.7,90
cootamundra,MX,2018-11-15 18:16:55,27.97,-114.04,59.86,86,8.16,20
cootamundra,TO,2018-11-15 18:00:00,-18.65,-173.98,82.4,83,9.17,75
cootamundra,FO,2018-11-15 17:50:00,62.23,-6.59,48.2,87,12.75,56
cootamundra,PF,2018-11-15 18:16:58,-9.8,-139.03,80.74,100,13.76,0
cootamundra,AR,2018-11-15 18:00:00,-54.81,-68.31,39.2,82,12.75,40
cootamundra,AU,2018-11-15 18:17:00,-33.64,115.35,74.31,73,13.65,20
cootamundra,NA,2018-11-15 17:00:00,-22.95,14.51,59.0,82,14.99,0
cootamundra,VE,2018-11-15 18:17:07,10.49,-68.2,71.47,96,2.57,80
cootamundra,NO,2018-11-15 17:50:00,78.22,15.63,15.8,72,8.05,75
cootamundra,AU,2018-11-15 18:17:09,-23.58,149.07,93.84,30,5.26,0
cootamundra,CA,2018-11-15 17:00:00,48.74,-69.09,14.0,72,8.05,40
cootamundra,GL,2018-11-15 18:17:13,77.48,-69.36,-10.79,100,3.8,0
cootamundra,GL,2018-11-15 18:15:37,60.14,-45.24,35.74,83,20.02,48
cootamundra,LT,2018-11-15 17:50:00,54.9,23.9,37.4,89,3.36,90
cootamundra,CA,2018-11-15 17:00:00,69.44,-133.03,-14.81,75,5.82,20
cootamundra,CL,2018-11-15 18:00:00,-53.16,-70.91,39.2,93,13.87,75
cootamundra,RU,2018-11-15 18:17:29,73.51,80.55,22.47,99,29.3,88
cootamundra,US,2018-11-15 17:56:00,39.31,-74.98,50.0,92,32.21,90
cootamundra,KI,2018-11-15 18:17:31,3.07,172.79,85.06,100,11.74,44
