city,Country,Date,latitude,longitude,Max Temperature,Humidity,Cloudiness,Wind_Speed
neiafu,US,2018-11-11 22:15:00,44.67,-103.85,19.4,85,10.29,90
neiafu,US,2018-11-11 21:56:00,19.71,-155.08,73.94,73,6.93,90
neiafu,CK,2018-11-11 22:00:00,-21.21,-159.78,77.0,78,10.29,40
neiafu,PT,2018-11-11 22:32:19,38.52,-28.7,66.52,97,13.94,76
neiafu,UY,2018-11-11 22:32:32,-33.69,-53.46,68.82,96,15.39,88
neiafu,AR,2018-11-11 22:00:00,-54.81,-68.31,50.0,66,18.34,75
neiafu,CA,2018-11-11 22:01:00,49.79,-92.84,15.8,78,6.93,90
neiafu,PF,2018-11-11 22:31:38,-23.12,-134.97,71.74,100,9.53,12
neiafu,NZ,2018-11-11 22:32:36,-46.19,168.86,53.92,83,7.56,92
neiafu,MX,2018-11-11 22:32:37,18.62,-100.35,58.56,83,2.04,0
neiafu,RU,2018-11-11 22:32:38,70.62,147.9,-21.82,32,2.98,0
neiafu,BR,2018-11-11 21:00:00,-15.29,-39.07,73.4,100,2.24,75
neiafu,RU,2018-11-11 22:32:40,67.8,130.41,-20.47,28,2.82,0
neiafu,IR,2018-11-11 21:00:00,36.28,50.01,46.4,100,4.7,90
neiafu,ZA,2018-11-11 22:32:41,-28.55,16.43,56.49,100,2.26,44
neiafu,AU,2018-11-11 22:00:00,-42.88,147.33,60.8,63,18.34,0
neiafu,MX,2018-11-11 22:32:43,23.99,-104.67,51.09,76,5.61,44
neiafu,ID,2018-11-11 22:32:46,0.12,117.47,85.02,93,6.4,32
neiafu,NZ,2018-11-11 22:32:47,-35.1,173.78,64.32,65,4.72,44
neiafu,ET,2018-11-11 21:00:00,8.96,38.73,59.0,77,10.29,75
neiafu,AU,2018-11-11 22:32:49,-33.64,115.35,67.42,90,13.78,36
neiafu,US,2018-11-11 21:54:00,42.65,-73.75,30.92,75,2.26,90
neiafu,TL,2018-11-11 22:32:51,-8.93,125.41,84.21,53,1.03,32
neiafu,GL,2018-11-11 22:31:32,60.14,-45.24,36.1,88,36.98,88
neiafu,RU,2018-11-11 22:32:53,71.98,102.47,-14.3,65,5.28,56
neiafu,US,2018-11-11 21:56:00,45.52,-122.67,51.08,40,19.46,20
neiafu,NO,2018-11-11 21:50:00,78.22,15.63,21.2,57,19.46,20
neiafu,US,2018-11-11 21:56:00,39.31,-74.98,35.96,92,2.98,1
neiafu,FR,2018-11-11 22:00:00,44.9,-0.72,51.8,100,3.36,90
neiafu,AU,2018-11-11 22:32:15,-33.21,138.6,87.13,18,13.27,44
neiafu,CN,2018-11-11 22:33:01,27.8,114.93,58.29,100,7.85,92
neiafu,CA,2018-11-11 22:15:00,45.36,-73.48,26.6,81,2.86,90
neiafu,PE,2018-11-11 22:00:00,-13.71,-76.2,64.4,82,4.7,0
neiafu,PG,2018-11-11 22:33:03,-2.67,141.3,84.66,100,10.25,0
neiafu,ZA,2018-11-11 22:00:00,-34.53,20.04,66.2,82,5.82,90
neiafu,ZA,2018-11-11 22:25:00,-33.93,18.42,60.8,82,5.82,40
neiafu,AR,2018-11-11 22:33:07,-38.31,-60.23,59.59,97,16.58,92
neiafu,AU,2018-11-11 22:32:18,-23.58,149.07,88.84,27,11.36,12
neiafu,AU,2018-11-11 22:00:00,-25.24,130.99,95.0,9,14.99,88
neiafu,NO,2018-11-11 21:50:00,61.99,5.14,48.2,93,12.75,75
neiafu,GL,2018-11-11 21:50:00,69.22,-51.1,8.6,65,9.17,0
neiafu,CL,2018-11-11 22:00:00,-53.16,-70.91,51.8,53,20.8,40
neiafu,KZ,2018-11-11 22:30:52,48.68,71.64,7.48,82,4.61,20
neiafu,RU,2018-11-11 22:33:15,44.63,135.35,37.99,55,8.12,0
neiafu,KI,2018-11-11 22:33:15,3.07,172.79,85.11,100,10.13,92
